"","W17037-1","W17037-10","W17037-11","W17037-12","W17037-13","W17037-15","W17037-16","W17037-17","W17037-18","W17037-19","W17037-2","W17037-20","W17037-21","W17037-22","W17037-24","W17037-26","W17037-28","W17037-3","W17037-34","W17037-35","W17037-40","W17037-41","W17037-43","W17037-45","W17037-49","W17037-5","W17037-55","W17037-57","W17037-6","W17037-62","W17037-65","W17037-68","W17037-7","W17037-73","W17037-75","W17037-77","W17037-8","W17037-87","W17037-89","W17038-4","W17039-1","W17039-10","W17039-11","W17039-12","W17039-13","W17039-14","W17039-15","W17039-16","W17039-17","W17039-18","W17039-19","W17039-2","W17039-20","W17039-21","W17039-23","W17039-24","W17039-26","W17039-27","W17039-28","W17039-29","W17039-3","W17039-30","W17039-31","W17039-4","W17039-44","W17039-49","W17039-5","W17039-6","W17039-65","W17039-68","W17039-69","W17039-7","W17039-73","W17039-8","W17039-9","W17040-3","W17041-3","W17042-3","W17042-4","W17042-5","W17042-7","W17042-8","W17043-1","W17043-21","W17043-31","W17043-37","W17043-9","W17044-12","W17044-13","W17044-14","W17044-15","W17044-2","W17044-24","W17044-25","W17044-5","W17044-6","W17044-9","W17045-4","W17046-2","W17046-3","W17047-10","W17047-11","W17047-15","W17047-16","W17047-5","W17047-6","W17049-10","W17050-6","W17050-7","W17051-17","W17051-9","W17052-15","W17052-18","W17053-14","W17053-18","W17055-4","W17056-5","W17056-8","W17057-16","W17057-28","W17057-3","W17057-44","W17057-5","W17057-8","W17058-5","W17060-22","W17060-24","W17060-27","W17060-30","W17060-9","W17062-1","W17062-10","W17062-11","W17062-17","W17062-21","W17062-22","W17062-26","W17062-6","W17063-8","W17064-10","W17064-19","W17064-20","W17064-22","W17064-25","W17064-27","W17064-7","W17064-8","W17065-11","W17065-20","W17065-21","W17065-8","W17066-1","W17066-11","W17066-22","W17066-26","W17066-30","W17066-34","W17066-9","W17067-1","W17067-13","W17067-27","W17067-7","W17AF6654-13","W17AF6654-15","W17AF6670-1","W17AF6677-8","W17AF6678-7","W17AF6684-10","W17AF6685-2","W17AF6686-6"
"W17039-1",0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0916,0.2651,0.1431,0.0916,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.0712,0.1431,0.1431,0.1431,0.1431,0.099,0.1016,0.0841,0.0841,0.0841,0.0841,0.0841,0.11,0.11,0.11,0.11,0.11,0.0969,0.0891,0.0969,0.0891,0.0891,0.0969,0.0891,0.0891,0.0891,0.0969,0.0618,0.0384,0.0384,0.108,0.108,0.0716,0.1431,0.1431,0.108,0.049,0.0749,0.0749,0.0716,0.0716,0.1033,0.1033,0.0215,0.0215,0.0891,0.0362,0.0362,0.0969,0.1431,0.0437,0.0969,0.0969,0.0437,0.0384,0.1431,0.1431,0.1431,0.0899,0.0899,0.0568,0.11,0.0568,0.0568,0.0568,0.11,0.0568,0.11,0.054,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.0535,0.1067,0.0535,0.0535,0.0437,0.0437,0.0969,0.0969,0.0437,0.0437,0.0437,0.092,0.092,0.092,0.0565,0.0335,0.0335,0.0822,0.0529,0.0427,0.0303,0.0511,0.0525
"W17039-10",0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0916,0.1431,0.2651,0.0916,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.0712,0.1431,0.1431,0.1431,0.1431,0.099,0.1016,0.0841,0.0841,0.0841,0.0841,0.0841,0.11,0.11,0.11,0.11,0.11,0.0969,0.0891,0.0969,0.0891,0.0891,0.0969,0.0891,0.0891,0.0891,0.0969,0.0618,0.0384,0.0384,0.108,0.108,0.0716,0.1431,0.1431,0.108,0.049,0.0749,0.0749,0.0716,0.0716,0.1033,0.1033,0.0215,0.0215,0.0891,0.0362,0.0362,0.0969,0.1431,0.0437,0.0969,0.0969,0.0437,0.0384,0.1431,0.1431,0.1431,0.0899,0.0899,0.0568,0.11,0.0568,0.0568,0.0568,0.11,0.0568,0.11,0.054,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.0535,0.1067,0.0535,0.0535,0.0437,0.0437,0.0969,0.0969,0.0437,0.0437,0.0437,0.092,0.092,0.092,0.0565,0.0335,0.0335,0.0822,0.0529,0.0427,0.0303,0.0511,0.0525
"W17039-11",0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1128,0.1438,0.0916,0.0916,0.2656,0.0916,0.0916,0.0916,0.0916,0.0916,0.0916,0.0916,0.0916,0.0916,0.0916,0.0916,0.0916,0.0916,0.0916,0.0916,0.0916,0.0916,0.0916,0.0916,0.0916,0.0916,0.0916,0.0916,0.0916,0.0916,0.0916,0.0916,0.0711,0.0916,0.0916,0.0916,0.0916,0.0994,0.0906,0.0851,0.0851,0.0851,0.0851,0.0851,0.0832,0.0832,0.0832,0.0832,0.0832,0.1128,0.0901,0.1128,0.0901,0.0901,0.1128,0.0901,0.0901,0.0901,0.1128,0.0786,0.0918,0.0918,0.0574,0.0574,0.0724,0.0916,0.0916,0.0574,0.0508,0.049,0.049,0.0724,0.0724,0.1031,0.1031,0.0221,0.0221,0.0901,0.0377,0.0377,0.1128,0.0916,0.0608,0.1128,0.1128,0.0608,0.0918,0.0916,0.0916,0.0916,0.0396,0.0396,0.0312,0.0832,0.0312,0.0312,0.0312,0.0832,0.0312,0.0832,0.0559,0.0395,0.0395,0.0395,0.0395,0.0395,0.0395,0.0395,0.0395,0.0545,0.1066,0.0545,0.0545,0.0608,0.0608,0.1128,0.1128,0.0608,0.0608,0.0608,0.041,0.041,0.041,0.1096,0.0629,0.0629,0.0302,0.0439,0.0459,0.0301,0.0402,0.0568
"W17039-12",0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0916,0.1431,0.1431,0.0916,0.2651,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.0712,0.1431,0.1431,0.1431,0.1431,0.099,0.1016,0.0841,0.0841,0.0841,0.0841,0.0841,0.11,0.11,0.11,0.11,0.11,0.0969,0.0891,0.0969,0.0891,0.0891,0.0969,0.0891,0.0891,0.0891,0.0969,0.0618,0.0384,0.0384,0.108,0.108,0.0716,0.1431,0.1431,0.108,0.049,0.0749,0.0749,0.0716,0.0716,0.1033,0.1033,0.0215,0.0215,0.0891,0.0362,0.0362,0.0969,0.1431,0.0437,0.0969,0.0969,0.0437,0.0384,0.1431,0.1431,0.1431,0.0899,0.0899,0.0568,0.11,0.0568,0.0568,0.0568,0.11,0.0568,0.11,0.054,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.0535,0.1067,0.0535,0.0535,0.0437,0.0437,0.0969,0.0969,0.0437,0.0437,0.0437,0.092,0.092,0.092,0.0565,0.0335,0.0335,0.0822,0.0529,0.0427,0.0303,0.0511,0.0525
"W17039-13",0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0916,0.1431,0.1431,0.0916,0.1431,0.2651,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.0712,0.1431,0.1431,0.1431,0.1431,0.099,0.1016,0.0841,0.0841,0.0841,0.0841,0.0841,0.11,0.11,0.11,0.11,0.11,0.0969,0.0891,0.0969,0.0891,0.0891,0.0969,0.0891,0.0891,0.0891,0.0969,0.0618,0.0384,0.0384,0.108,0.108,0.0716,0.1431,0.1431,0.108,0.049,0.0749,0.0749,0.0716,0.0716,0.1033,0.1033,0.0215,0.0215,0.0891,0.0362,0.0362,0.0969,0.1431,0.0437,0.0969,0.0969,0.0437,0.0384,0.1431,0.1431,0.1431,0.0899,0.0899,0.0568,0.11,0.0568,0.0568,0.0568,0.11,0.0568,0.11,0.054,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.0535,0.1067,0.0535,0.0535,0.0437,0.0437,0.0969,0.0969,0.0437,0.0437,0.0437,0.092,0.092,0.092,0.0565,0.0335,0.0335,0.0822,0.0529,0.0427,0.0303,0.0511,0.0525
"W17039-14",0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0916,0.1431,0.1431,0.0916,0.1431,0.1431,0.2651,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.0712,0.1431,0.1431,0.1431,0.1431,0.099,0.1016,0.0841,0.0841,0.0841,0.0841,0.0841,0.11,0.11,0.11,0.11,0.11,0.0969,0.0891,0.0969,0.0891,0.0891,0.0969,0.0891,0.0891,0.0891,0.0969,0.0618,0.0384,0.0384,0.108,0.108,0.0716,0.1431,0.1431,0.108,0.049,0.0749,0.0749,0.0716,0.0716,0.1033,0.1033,0.0215,0.0215,0.0891,0.0362,0.0362,0.0969,0.1431,0.0437,0.0969,0.0969,0.0437,0.0384,0.1431,0.1431,0.1431,0.0899,0.0899,0.0568,0.11,0.0568,0.0568,0.0568,0.11,0.0568,0.11,0.054,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.0535,0.1067,0.0535,0.0535,0.0437,0.0437,0.0969,0.0969,0.0437,0.0437,0.0437,0.092,0.092,0.092,0.0565,0.0335,0.0335,0.0822,0.0529,0.0427,0.0303,0.0511,0.0525
"W17039-15",0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0916,0.1431,0.1431,0.0916,0.1431,0.1431,0.1431,0.2651,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.0712,0.1431,0.1431,0.1431,0.1431,0.099,0.1016,0.0841,0.0841,0.0841,0.0841,0.0841,0.11,0.11,0.11,0.11,0.11,0.0969,0.0891,0.0969,0.0891,0.0891,0.0969,0.0891,0.0891,0.0891,0.0969,0.0618,0.0384,0.0384,0.108,0.108,0.0716,0.1431,0.1431,0.108,0.049,0.0749,0.0749,0.0716,0.0716,0.1033,0.1033,0.0215,0.0215,0.0891,0.0362,0.0362,0.0969,0.1431,0.0437,0.0969,0.0969,0.0437,0.0384,0.1431,0.1431,0.1431,0.0899,0.0899,0.0568,0.11,0.0568,0.0568,0.0568,0.11,0.0568,0.11,0.054,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.0535,0.1067,0.0535,0.0535,0.0437,0.0437,0.0969,0.0969,0.0437,0.0437,0.0437,0.092,0.092,0.092,0.0565,0.0335,0.0335,0.0822,0.0529,0.0427,0.0303,0.0511,0.0525
"W17039-16",0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0916,0.1431,0.1431,0.0916,0.1431,0.1431,0.1431,0.1431,0.2651,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.0712,0.1431,0.1431,0.1431,0.1431,0.099,0.1016,0.0841,0.0841,0.0841,0.0841,0.0841,0.11,0.11,0.11,0.11,0.11,0.0969,0.0891,0.0969,0.0891,0.0891,0.0969,0.0891,0.0891,0.0891,0.0969,0.0618,0.0384,0.0384,0.108,0.108,0.0716,0.1431,0.1431,0.108,0.049,0.0749,0.0749,0.0716,0.0716,0.1033,0.1033,0.0215,0.0215,0.0891,0.0362,0.0362,0.0969,0.1431,0.0437,0.0969,0.0969,0.0437,0.0384,0.1431,0.1431,0.1431,0.0899,0.0899,0.0568,0.11,0.0568,0.0568,0.0568,0.11,0.0568,0.11,0.054,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.0535,0.1067,0.0535,0.0535,0.0437,0.0437,0.0969,0.0969,0.0437,0.0437,0.0437,0.092,0.092,0.092,0.0565,0.0335,0.0335,0.0822,0.0529,0.0427,0.0303,0.0511,0.0525
"W17039-17",0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0916,0.1431,0.1431,0.0916,0.1431,0.1431,0.1431,0.1431,0.1431,0.2651,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.0712,0.1431,0.1431,0.1431,0.1431,0.099,0.1016,0.0841,0.0841,0.0841,0.0841,0.0841,0.11,0.11,0.11,0.11,0.11,0.0969,0.0891,0.0969,0.0891,0.0891,0.0969,0.0891,0.0891,0.0891,0.0969,0.0618,0.0384,0.0384,0.108,0.108,0.0716,0.1431,0.1431,0.108,0.049,0.0749,0.0749,0.0716,0.0716,0.1033,0.1033,0.0215,0.0215,0.0891,0.0362,0.0362,0.0969,0.1431,0.0437,0.0969,0.0969,0.0437,0.0384,0.1431,0.1431,0.1431,0.0899,0.0899,0.0568,0.11,0.0568,0.0568,0.0568,0.11,0.0568,0.11,0.054,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.0535,0.1067,0.0535,0.0535,0.0437,0.0437,0.0969,0.0969,0.0437,0.0437,0.0437,0.092,0.092,0.092,0.0565,0.0335,0.0335,0.0822,0.0529,0.0427,0.0303,0.0511,0.0525
"W17039-18",0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0916,0.1431,0.1431,0.0916,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.2651,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.0712,0.1431,0.1431,0.1431,0.1431,0.099,0.1016,0.0841,0.0841,0.0841,0.0841,0.0841,0.11,0.11,0.11,0.11,0.11,0.0969,0.0891,0.0969,0.0891,0.0891,0.0969,0.0891,0.0891,0.0891,0.0969,0.0618,0.0384,0.0384,0.108,0.108,0.0716,0.1431,0.1431,0.108,0.049,0.0749,0.0749,0.0716,0.0716,0.1033,0.1033,0.0215,0.0215,0.0891,0.0362,0.0362,0.0969,0.1431,0.0437,0.0969,0.0969,0.0437,0.0384,0.1431,0.1431,0.1431,0.0899,0.0899,0.0568,0.11,0.0568,0.0568,0.0568,0.11,0.0568,0.11,0.054,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.0535,0.1067,0.0535,0.0535,0.0437,0.0437,0.0969,0.0969,0.0437,0.0437,0.0437,0.092,0.092,0.092,0.0565,0.0335,0.0335,0.0822,0.0529,0.0427,0.0303,0.0511,0.0525
"W17039-19",0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0916,0.1431,0.1431,0.0916,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.2651,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.0712,0.1431,0.1431,0.1431,0.1431,0.099,0.1016,0.0841,0.0841,0.0841,0.0841,0.0841,0.11,0.11,0.11,0.11,0.11,0.0969,0.0891,0.0969,0.0891,0.0891,0.0969,0.0891,0.0891,0.0891,0.0969,0.0618,0.0384,0.0384,0.108,0.108,0.0716,0.1431,0.1431,0.108,0.049,0.0749,0.0749,0.0716,0.0716,0.1033,0.1033,0.0215,0.0215,0.0891,0.0362,0.0362,0.0969,0.1431,0.0437,0.0969,0.0969,0.0437,0.0384,0.1431,0.1431,0.1431,0.0899,0.0899,0.0568,0.11,0.0568,0.0568,0.0568,0.11,0.0568,0.11,0.054,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.0535,0.1067,0.0535,0.0535,0.0437,0.0437,0.0969,0.0969,0.0437,0.0437,0.0437,0.092,0.092,0.092,0.0565,0.0335,0.0335,0.0822,0.0529,0.0427,0.0303,0.0511,0.0525
"W17039-2",0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0916,0.1431,0.1431,0.0916,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.2651,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.0712,0.1431,0.1431,0.1431,0.1431,0.099,0.1016,0.0841,0.0841,0.0841,0.0841,0.0841,0.11,0.11,0.11,0.11,0.11,0.0969,0.0891,0.0969,0.0891,0.0891,0.0969,0.0891,0.0891,0.0891,0.0969,0.0618,0.0384,0.0384,0.108,0.108,0.0716,0.1431,0.1431,0.108,0.049,0.0749,0.0749,0.0716,0.0716,0.1033,0.1033,0.0215,0.0215,0.0891,0.0362,0.0362,0.0969,0.1431,0.0437,0.0969,0.0969,0.0437,0.0384,0.1431,0.1431,0.1431,0.0899,0.0899,0.0568,0.11,0.0568,0.0568,0.0568,0.11,0.0568,0.11,0.054,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.0535,0.1067,0.0535,0.0535,0.0437,0.0437,0.0969,0.0969,0.0437,0.0437,0.0437,0.092,0.092,0.092,0.0565,0.0335,0.0335,0.0822,0.0529,0.0427,0.0303,0.0511,0.0525
"W17039-20",0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0916,0.1431,0.1431,0.0916,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.2651,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.0712,0.1431,0.1431,0.1431,0.1431,0.099,0.1016,0.0841,0.0841,0.0841,0.0841,0.0841,0.11,0.11,0.11,0.11,0.11,0.0969,0.0891,0.0969,0.0891,0.0891,0.0969,0.0891,0.0891,0.0891,0.0969,0.0618,0.0384,0.0384,0.108,0.108,0.0716,0.1431,0.1431,0.108,0.049,0.0749,0.0749,0.0716,0.0716,0.1033,0.1033,0.0215,0.0215,0.0891,0.0362,0.0362,0.0969,0.1431,0.0437,0.0969,0.0969,0.0437,0.0384,0.1431,0.1431,0.1431,0.0899,0.0899,0.0568,0.11,0.0568,0.0568,0.0568,0.11,0.0568,0.11,0.054,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.0535,0.1067,0.0535,0.0535,0.0437,0.0437,0.0969,0.0969,0.0437,0.0437,0.0437,0.092,0.092,0.092,0.0565,0.0335,0.0335,0.0822,0.0529,0.0427,0.0303,0.0511,0.0525
"W17039-21",0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0916,0.1431,0.1431,0.0916,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.2651,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.0712,0.1431,0.1431,0.1431,0.1431,0.099,0.1016,0.0841,0.0841,0.0841,0.0841,0.0841,0.11,0.11,0.11,0.11,0.11,0.0969,0.0891,0.0969,0.0891,0.0891,0.0969,0.0891,0.0891,0.0891,0.0969,0.0618,0.0384,0.0384,0.108,0.108,0.0716,0.1431,0.1431,0.108,0.049,0.0749,0.0749,0.0716,0.0716,0.1033,0.1033,0.0215,0.0215,0.0891,0.0362,0.0362,0.0969,0.1431,0.0437,0.0969,0.0969,0.0437,0.0384,0.1431,0.1431,0.1431,0.0899,0.0899,0.0568,0.11,0.0568,0.0568,0.0568,0.11,0.0568,0.11,0.054,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.0535,0.1067,0.0535,0.0535,0.0437,0.0437,0.0969,0.0969,0.0437,0.0437,0.0437,0.092,0.092,0.092,0.0565,0.0335,0.0335,0.0822,0.0529,0.0427,0.0303,0.0511,0.0525
"W17039-23",0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0969,0.0916,0.1431,0.1431,0.0916,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.2651,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.1431,0.0712,0.1431,0.1431,0.1431,0.1431,0.099,0.1016,0.0841,0.0841,0.0841,0.0841,0.0841,0.11,0.11,0.11,0.11,0.11,0.0969,0.0891,0.0969,0.0891,0.0891,0.0969,0.0891,0.0891,0.0891,0.0969,0.0618,0.0384,0.0384,0.108,0.108,0.0716,0.1431,0.1431,0.108,0.049,0.0749,0.0749,0.0716,0.0716,0.1033,0.1033,0.0215,0.0215,0.0891,0.0362,0.0362,0.0969,0.1431,0.0437,0.0969,0.0969,0.0437,0.0384,0.1431,0.1431,0.1431,0.0899,0.0899,0.0568,0.11,0.0568,0.0568,0.0568,0.11,0.0568,0.11,0.054,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.038,0.0535,0.1067,0.0535,0.0535,0.0437,0.0437,0.0969,0.0969,0.0437,0.0437,0.0437,0.092,0.092,0.092,0.0565,0.0335,0.0335,0.0822,0.0529,0.0427,0.0303,0.0511,0.0525
